Year	Month	Date	Anomoly_Celcius
1934	3	1934-03-01	-.29
1934	4	1934-04-01	-.30
1934	5	1934-05-01	-.09
1934	6	1934-06-01	-.15
1934	7	1934-07-01	-.10
1934	8	1934-08-01	-.12
1934	9	1934-09-01	-.15
1934	10	1934-10-01	-.06
1934	11	1934-11-01	.04
1934	12	1934-12-01	-.02
1935	1	1935-01-01	-.33
1935	2	1935-02-01	.15
1935	3	1935-03-01	-.14
1935	4	1935-04-01	-.37
1935	5	1935-05-01	-.29
1935	6	1935-06-01	-.27
1935	7	1935-07-01	-.21
1935	8	1935-08-01	-.22
1935	9	1935-09-01	-.21
1935	10	1935-10-01	-.06
1935	11	1935-11-01	-.26
1935	12	1935-12-01	-.17
1936	1	1936-01-01	-.27
1936	2	1936-02-01	-.37
1936	3	1936-03-01	-.20
1936	4	1936-04-01	-.20
1936	5	1936-05-01	-.16
1936	6	1936-06-01	-.22
1936	7	1936-07-01	-.09
1936	8	1936-08-01	-.13
1936	9	1936-09-01	-.09
1936	10	1936-10-01	-.02
1936	11	1936-11-01	.02
1936	12	1936-12-01	-.01
1937	1	1937-01-01	-.07
1937	2	1937-02-01	.03
1937	3	1937-03-01	-.20
1937	4	1937-04-01	-.15
1937	5	1937-05-01	-.05
1937	6	1937-06-01	-.05
1937	7	1937-07-01	-.03
1937	8	1937-08-01	.02
1937	9	1937-09-01	.10
1937	10	1937-10-01	.09
1937	11	1937-11-01	.08
1937	12	1937-12-01	-.07
1938	1	1938-01-01	.09
1938	2	1938-02-01	.04
1938	3	1938-03-01	.10
1938	4	1938-04-01	.07
1938	5	1938-05-01	-.09
1938	6	1938-06-01	-.17
1938	7	1938-07-01	-.09
1938	8	1938-08-01	-.05
1938	9	1938-09-01	.01
1938	10	1938-10-01	.15
1938	11	1938-11-01	.08
1938	12	1938-12-01	-.12
1939	1	1939-01-01	-.05
1939	2	1939-02-01	-.06
1939	3	1939-03-01	-.17
1939	4	1939-04-01	-.10
1939	5	1939-05-01	-.04
1939	6	1939-06-01	-.07
1939	7	1939-07-01	-.05
1939	8	1939-08-01	-.06
1939	9	1939-09-01	-.07
1939	10	1939-10-01	-.04
1939	11	1939-11-01	.07
1939	12	1939-12-01	.43
1940	1	1940-01-01	.00
1940	2	1940-02-01	.08
1940	3	1940-03-01	.09
1940	4	1940-04-01	.18
1940	5	1940-05-01	.11
1940	6	1940-06-01	.12
1940	7	1940-07-01	.13
1940	8	1940-08-01	.07
1940	9	1940-09-01	.15
1940	10	1940-10-01	.11
1940	11	1940-11-01	.16
1940	12	1940-12-01	.31
1941	1	1941-01-01	.18
1941	2	1941-02-01	.31
1941	3	1941-03-01	.10
1941	4	1941-04-01	.16
1941	5	1941-05-01	.17
1941	6	1941-06-01	.13
1941	7	1941-07-01	.22
1941	8	1941-08-01	.15
1941	9	1941-09-01	.02
1941	10	1941-10-01	.35
1941	11	1941-11-01	.23
1941	12	1941-12-01	.22
1942	1	1942-01-01	.29
1942	2	1942-02-01	.03
1942	3	1942-03-01	.06
1942	4	1942-04-01	.10
1942	5	1942-05-01	.11
1942	6	1942-06-01	.05
1942	7	1942-07-01	.00
1942	8	1942-08-01	-.04
1942	9	1942-09-01	-.03
1942	10	1942-10-01	.02
1942	11	1942-11-01	.10
